condition,replicate,day,sen,res,gd
1,1,0,635.5,5,0
1,1,2,328,12,0
1,1,4,64,13,0
1,1,6,20,11,0
1,1,8,8,16,0
1,1,10,4,17,0
1,1,12,2,22,0
1,1,14,1,20,0
1,1,16,1,60,0
1,1,18,1,74,0
1,1,20,1,90,2
1,1,22,12,286,0
1,1,24,10,528,0
1,1,26,9,1041,0
1,2,0,635.5,5,0
1,2,2,368,8,0
1,2,4,65,9,0
1,2,6,5,8,0
1,2,8,4,15,0
1,2,10,4,11,0
1,2,12,0,17,0
1,2,14,5,36,0
1,2,16,1,29,0
1,2,18,3,55,0
1,2,20,3,59,0
1,2,22,11,206,0
1,2,24,17,427,0
1,2,26,9,888,0
1,3,0,635.5,5,0
1,3,2,327,5,0
1,3,4,68,10,0
1,3,6,7,9,0
1,3,8,12,10,0
1,3,10,1,14,0
1,3,12,4,8,0
1,3,14,3,10,0
1,3,16,6,22,0
1,3,18,6,10,0
1,3,20,2,31,0
1,3,22,1,48,0
1,3,24,5,56,0
1,3,26,3,114,0
2,1,0,558.5,4,32
2,1,2,362,7,44
2,1,4,104,17,104
2,1,6,41,11,168
2,1,8,28,13,298
2,1,10,17,18,381
2,1,12,6,10,142
2,1,14,5,6,31
2,1,16,2,2,4
2,1,18,0,0,0
2,1,20,1,0,0
2,1,22,1,0,0
2,1,24,2,0,0
2,1,26,0,0,0
2,1,28,0,0,0
2,1,30,0,0,0
2,2,0,558.5,4,32
2,2,2,347,3,46
2,2,4,73,8,85
2,2,6,32,14,196
2,2,8,27,23,362
2,2,10,18,26,430
2,2,12,10,7,154
2,2,14,2,9,45
2,2,16,1,2,3
2,2,18,1,1,1
2,2,20,3,0,0
2,2,22,0,0,0
2,2,24,0,0,0
2,2,26,0,0,0
2,2,28,0,0,0
2,2,30,0,0,0
2,3,0,558.5,4,32
2,3,2,436,5,66
2,3,4,67,9,90
2,3,6,32,13,226
2,3,8,32,24,555
2,3,10,21,31,580
2,3,12,9,18,223
2,3,14,1,1,46
2,3,16,0,0,3
2,3,18,0,0,0
2,3,20,1,0,0
2,3,22,0,0,0
2,3,24,0,0,0
2,3,26,0,0,0
2,3,28,0,0,0
2,3,30,0,0,0
3,1,0,558.5,4,32
3,1,2,397,3,25
3,1,4,43,1,9
3,1,6,4,3,0
3,1,8,1,1,0
3,1,10,0,0,0
3,1,12,0,0,0
3,1,14,1,7,0
3,1,16,0,1,0
3,1,18,0,2,0
3,1,20,2,11,0
3,1,22,3,25,0
3,1,24,2,24,0
3,1,26,0,53,0
3,1,28,0,109,0
3,1,30,0,223,0
3,2,0,558.5,4,32
3,2,2,307,9,32
3,2,4,59,9,16
3,2,6,7,0,3
3,2,8,2,0,0
3,2,10,2,2,0
3,2,12,0,0,0
3,2,14,2,4,0
3,2,16,0,4,0
3,2,18,3,2,0
3,2,20,2,7,0
3,2,22,1,12,0
3,2,24,2,30,0
3,2,26,0,79,0
3,2,28,0,167,0
3,2,30,0,335,0
3,3,0,558.5,4,32
3,3,2,405,14,32
3,3,4,51,5,4
3,3,6,5,1,1
3,3,8,3,1,0
3,3,10,2,0,0
3,3,12,1,0,0
3,3,14,0,5,0
3,3,16,0,3,0
3,3,18,3,2,0
3,3,20,0,4,0
3,3,22,2,7,0
3,3,24,2,4,0
3,3,26,1,27,0
3,3,28,0,58,0
3,3,30,0,112,0