genotype,dimerizer,log.dose.nM,mean,sem
WT,FALSE,4,0.008353504,0.001581484
WT,FALSE,3.5,0.116460374,0.007437023
WT,FALSE,3,0.204210349,0.01418456
WT,FALSE,2.5,0.199491459,0.017058036
WT,FALSE,2,0.198445362,0.013796032
WT,FALSE,1.5,0.255629453,0.016249002
WT,FALSE,1,0.50305048,0.025179805
WT,FALSE,0.5,0.906263601,0.03496273
WT,FALSE,0,0.991906111,0.003858832
ELC,FALSE,4,0.013955563,0.001356997
ELC,FALSE,3.5,0.219747646,0.02523118
ELC,FALSE,3,0.695399736,0.027422505
ELC,FALSE,2.5,0.775084599,0.016185602
ELC,FALSE,2,0.819198517,0.039302898
ELC,FALSE,1.5,0.838514205,0.041517415
ELC,FALSE,1,0.886746588,0.048232805
ELC,FALSE,0.5,0.974886983,0.057713604
ELC,FALSE,0,1.040039174,0.032750495
HMEC,FALSE,4,0.008607355,0.001506567
HMEC,FALSE,3.5,0.117664186,0.001084081
HMEC,FALSE,3,0.20345568,0.008953827
HMEC,FALSE,2.5,0.22863174,0.006917544
HMEC,FALSE,2,0.239932306,0.012338178
HMEC,FALSE,1.5,0.276254254,0.019280548
HMEC,FALSE,1,0.443296999,0.03299496
HMEC,FALSE,0.5,0.817143741,0.008839258
HMEC,FALSE,0,0.987880552,0.043374831
HMEC,TRUE,4,0.012478655,0.000870909
HMEC,TRUE,3.5,0.248662376,0.016715661
HMEC,TRUE,3,0.546967906,0.015744666
HMEC,TRUE,2.5,0.62340733,0.026704176
HMEC,TRUE,2,0.669512676,0.030553679
HMEC,TRUE,1.5,0.688707912,0.028914726
HMEC,TRUE,1,0.777687289,0.032735689
HMEC,TRUE,0.5,0.957073427,0.039522025
HMEC,TRUE,0,1.033933184,0.022947441