perc.GD,log.dose.uM,mean,sem
100,0,1.034758341,0.028055981
100,0.5,1.029201551,0.030646384
100,1,0.952428935,0.033068473
100,1.5,0.83562767,0.009879365
100,2,0.713531402,0.022408953
100,2.5,0.6187943,0.018010639
100,3,0.469314169,0.012178172
100,3.5,0.326847942,0.01426614
100,4,0.200844632,0.00527542
50,0,1.045954061,0.033465171
50,0.5,1.052866548,0.032683064
50,1,1.01789201,0.015235968
50,1.5,0.952446599,0.011976854
50,2,0.864217942,0.014388085
50,2.5,0.749271466,0.006184204
50,3,0.628187643,0.008131218
50,3.5,0.473831647,0.013180729
50,4,0.303290913,0.008838247
25,0,1.082085482,0.019230449
25,0.5,1.069246761,0.035355852
25,1,1.013605442,0.027596514
25,1.5,0.966217955,0.01513344
25,2,0.874602488,0.030166246
25,2.5,0.834609487,0.034819298
25,3,0.706103924,0.023487913
25,3.5,0.555255385,0.009527671
25,4,0.378312596,0.005309976
12.5,0,1.056942698,0.01317341
12.5,0.5,1.037219328,0.009036066
12.5,1,1.021220286,0.004667907
12.5,1.5,1.025315849,0.013913928
12.5,2,0.984366206,0.009630558
12.5,2.5,0.884551823,0.014594206
12.5,3,0.794479372,0.095195254
12.5,3.5,0.729327585,0.01065918
12.5,4,0.498215676,0.018811126
6.25,0,1.035921652,0.040643108
6.25,0.5,1.04501078,0.035587272
6.25,1,1.022973933,0.055818829
6.25,1.5,1.03450071,0.04020989
6.25,2,1.03315939,0.049246936
6.25,2.5,0.959778774,0.037688694
6.25,3,0.840474791,0.030668335
6.25,3.5,0.748027831,0.028207196
6.25,4,0.558675094,0.022498926
0,0,1.06573245,0.004547934
0,0.5,1.061388183,0.022030414
0,1,1.069904614,0.003145577
0,1.5,1.085325976,0.008025374
0,2,1.079620542,0.00905653
0,2.5,1.082786171,0.020857181
0,3,1.07513025,0.021246629
0,3.5,0.95252077,0.015032213
0,4,0.744209818,0.003819329