osi.conc,gene.drive.status,replicate,day,volume,gd,Brnlo
30nM,'-GD,rep1,D0,10,15,"3,126"
30nM,'+GD,rep1,D0,10,176,"3,493"
30nM,'-GD,rep2,D0,10,14,"3,681"
30nM,'+GD,rep2,D0,10,161,"3,318"
50nM,'-GD,rep1,D0,10,15,"3,126"
50nM,'+GD,rep1,D0,10,176,"3,493"
50nM,'-GD,rep2,D0,10,14,"3,681"
50nM,'+GD,rep2,D0,10,161,"3,318"
30nM,'-GD,rep1,D3,25,3,"5,195"
30nM,'-GD,rep2,D3,25,6,"6,260"
30nM,'+GD,rep1,D3,25,"1,408","6,500"
30nM,'+GD,rep2,D3,25,"1,562","6,681"
50nM,'-GD,rep1,D3,25,5,"4,250"
50nM,'-GD,rep2,D3,25,10,"3,931"
50nM,'+GD,rep1,D3,25,"1,526","4,297"
50nM,'+GD,rep2,D3,25,"1,448","3,880"
30nM,'-GD,rep1,D6,25,2,"3,121"
30nM,'-GD,rep2,D6,25,6,"2,636"
30nM,'+GD,rep1,D6,25,"3,854","3,177"
30nM,'+GD,rep2,D6,25,"4,623","3,185"
50nM,'-GD,rep1,D6,25,4,736
50nM,'-GD,rep2,D6,25,2,774
50nM,'+GD,rep1,D6,25,"4,687",835
50nM,'+GD,rep2,D6,25,"5,865",772
30nM,'-GD,rep1,D9,25,4,"1,582"
30nM,'-GD,rep2,D9,25,1,"1,649"
30nM,'+GD,rep1,D9,25,"2,071","1,523"
30nM,'+GD,rep2,D9,25,"2,168","1,405"
50nM,'-GD,rep1,D9,25,0,285
50nM,'-GD,rep2,D9,25,1,271
50nM,'+GD,rep1,D9,25,"3,264",266
50nM,'+GD,rep2,D9,25,"3,869",195
30nM,'-GD,rep1,D12,25,1,815
30nM,'-GD,rep2,D12,25,1,844
30nM,'+GD,rep1,D12,25,110,76
30nM,'+GD,rep2,D12,25,103,46
50nM,'-GD,rep1,D12,25,0,186
50nM,'-GD,rep2,D12,25,0,179
50nM,'+GD,rep1,D12,25,97,7
50nM,'+GD,rep2,D12,25,51,0
30nM,'-GD,rep1,D15,25,0,793
30nM,'-GD,rep2,D15,25,2,847
30nM,'+GD,rep1,D15,25,0,1
30nM,'+GD,rep2,D15,25,0,2
50nM,'-GD,rep1,D15,25,2,194
50nM,'-GD,rep2,D15,25,0,158
50nM,'+GD,rep1,D15,25,0,1
50nM,'+GD,rep2,D15,25,0,1
30nM,'-GD,rep1,D18,25,0,603
30nM,'-GD,rep2,D18,25,1,726
30nM,'+GD,rep1,D18,25,0,0
30nM,'+GD,rep2,D18,25,0,0
50nM,'-GD,rep1,D18,25,0,309
50nM,'-GD,rep2,D18,25,2,280
50nM,'+GD,rep1,D18,25,0,0
50nM,'+GD,rep2,D18,25,0,0
30nM,'-GD,rep1,D21,25,4,"1,627"
30nM,'-GD,rep2,D21,25,1,"1,648"
30nM,'+GD,rep1,D21,25,0,0
30nM,'+GD,rep2,D21,25,0,0
50nM,'-GD,rep1,D21,25,2,"2,305"
50nM,'-GD,rep2,D21,25,4,"2,018"
50nM,'+GD,rep1,D21,25,0,4
50nM,'+GD,rep2,D21,25,0,0
30nM,'-GD,rep1,D24,25,9,"5,125"
30nM,'-GD,rep2,D24,25,6,"5,745"
30nM,'+GD,rep1,D24,25,0,0
30nM,'+GD,rep2,D24,25,0,0
50nM,'-GD,rep1,D24,25,11,"9,485"
50nM,'-GD,rep2,D24,25,2,"4,107"
50nM,'+GD,rep1,D24,25,0,0
50nM,'+GD,rep2,D24,25,0,0
30nM,'-GD,rep1,D27,25,11,"11,276"
30nM,'-GD,rep2,D27,25,5,"10,063"
30nM,'+GD,rep1,D27,25,0,0
30nM,'+GD,rep2,D27,25,0,0
50nM,'-GD,rep1,D27,25,17,"12,251"
50nM,'-GD,rep2,D27,25,13,"10,959"
50nM,'+GD,rep1,D27,25,0,0
50nM,'+GD,rep2,D27,25,0,0
30nM,'+GD,rep1,D30,25,0,0
30nM,'+GD,rep2,D30,25,0,0
50nM,'+GD,rep1,D30,25,0,0
50nM,'+GD,rep2,D30,25,0,0