day,condition,population,mean,sem
0,1,lib,1000000,0
2,1,lib,1204266.667,39618.23374
4,1,lib,698733.3333,28391.15668
6,1,lib,885766.6667,25371.6596
8,1,lib,832700,19347.0928
10,1,lib,1029966.667,20251.44714
12,1,lib,1088700,28274.07529
14,1,lib,1409733.333,29398.20478
16,1,lib,1688366.667,12638.87302
18,1,lib,2118866.667,23590.69967
0,2,lib,900000,0
2,2,lib,999533.3333,15020.02367
4,2,lib,677533.3333,12630.95844
6,2,lib,651633.3333,19154.83693
8,2,lib,529566.6667,6994.36281
10,2,lib,562066.6667,19813.49148
12,2,lib,331566.6667,9397.57652
14,2,lib,151766.6667,731.0570733
16,2,lib,21100,251.6611478
18,2,lib,866.6666667,88.19171037
0,2,GD,100000,0
2,2,GD,150333.3333,1409.885732
4,2,GD,187600,7245.228315
6,2,GD,524600,25196.49447
8,2,GD,647300,18353.83702
10,2,GD,948100,23956.27962
12,2,GD,634833.3333,18294.47397
14,2,GD,320500,4067.349669
16,2,GD,32166.66667,1519.137182
18,2,GD,333.3333333,133.3333333
21,2,lib,0,0
21,2,GD,0,0