condition,day,replicate,sen,res,gd
1,0,1,2115,7.5,7.5
1,2,1,432,0,0
1,4,1,180,3,0
1,6,1,113,5,4
1,8,1,73,9,0
1,10,1,61,24,0
1,12,1,58,88,0
1,14,1,79,335,0
1,16,1,150,"1,222",0
1,18,1,212,"3,827",2
1,20,1,186,"6,913",2
1,22,1,361,"13,493",2
1,24,1,126,"8,397",1
1,26,1,194,"20,477",1
1,28,1,92,"18,483",0
1,0,2,2115,7.5,7.5
1,2,2,708,8,4
1,4,2,281,8,1
1,6,2,141,15,3
1,8,2,71,14,1
1,10,2,58,38,0
1,12,2,64,150,0
1,14,2,128,816,0
1,16,2,166,"2,349",1
1,18,2,268,"7,061",3
1,20,2,223,"10,556",0
1,22,2,266,"15,322",1
1,24,2,244,"18,357",0
1,26,2,283,"22,075",2
1,28,2,216,"16,701",1
1,0,3,2115,7.5,7.5
1,2,3,628,0,0
1,4,3,197,0,1
1,6,3,108,3,1
1,8,3,52,6,0
1,10,3,31,9,0
1,12,3,31,15,1
1,14,3,25,24,0
1,16,3,57,108,0
1,18,3,132,469,1
1,20,3,584,"2,654",3
1,22,3,887,"4,638",8
1,24,3,949,"5,510",6
1,26,3,"1,407","9,298",2
1,28,3,810,"8,323",4
2,0,1,1935,15,90
2,2,1,672,4,60
2,4,1,255,1,119
2,6,1,156,4,309
2,8,1,217,21,"1,106"
2,10,1,267,28,"2,093"
2,12,1,164,13,"1,338"
2,14,1,103,4,742
2,16,1,75,3,532
2,18,1,53,3,369
2,20,1,15,1,140
2,22,1,17,0,102
2,24,1,5,0,36
2,26,1,2,0,19
2,28,1,1,0,3
2,0,2,1935,15,90
2,2,2,600,4,72
2,4,2,237,1,120
2,6,2,204,10,378
2,8,2,261,29,"1,294"
2,10,2,291,62,"2,331"
2,12,2,125,35,"1,333"
2,14,2,76,10,691
2,16,2,55,4,571
2,18,2,43,4,395
2,20,2,18,1,212
2,22,2,13,1,111
2,24,2,12,3,67
2,26,2,2,0,27
2,28,2,1,0,10
2,0,3,1935,15,90
2,2,3,660,4,80
2,4,3,241,6,119
2,6,3,295,7,560
2,8,3,366,42,"1,963"
2,10,3,365,74,"3,048"
2,12,3,182,39,"1,885"
2,14,3,108,16,"1,052"
2,16,3,73,8,661
2,18,3,60,5,422
2,20,3,33,2,263
2,22,3,10,1,137
2,24,3,9,1,56
2,26,3,1,0,11
2,28,3,0,0,4
2,30,2,0,0,0
3,0,1,1935,15,90
3,2,1,272,12,4
3,4,1,134,4,8
3,6,1,80,0,3
3,8,1,27,2,1
3,10,1,18,3,2
3,12,1,20,7,0
3,14,1,17,20,0
3,16,1,12,72,0
3,18,1,22,487,0
3,20,1,32,"3,842",0
3,22,1,99,"11,326",0
3,24,1,67,"15,862",0
3,26,1,98,"23,210",2
3,28,1,51,"23,628",0
3,0,2,1935,15,90
3,2,2,588,0,28
3,4,2,205,2,8
3,6,2,85,2,3
3,8,2,39,1,1
3,10,2,27,3,0
3,12,2,23,3,1
3,14,2,14,8,0
3,16,2,30,17,0
3,18,2,40,127,0
3,20,2,154,"1,124",0
3,22,2,444,"5,501",1
3,24,2,503,"12,404",1
3,26,2,497,"18,937",0
3,28,2,190,"9,632",0
3,0,3,1935,15,90
3,2,3,592,0,24
3,4,3,148,1,7
3,6,3,65,0,4
3,8,3,31,2,1
3,10,3,13,0,0
3,12,3,17,0,0
3,14,3,7,1,0
3,16,3,8,2,0
3,18,3,12,6,0
3,20,3,19,36,0
3,22,3,23,92,0
3,24,3,16,248,0
3,26,3,32,744,1
3,28,3,30,"1,711",0